company,source_name,source_type,priority,current_status,description,why_it_matters
"coway","Amazon US raw CSV","marketplace","1","available","현재 보유한 Amazon US 판매량/매출 추정 CSV","기준 proxy 데이터"
"coway","DART/IR: 국내 매출, 해외법인 매출, 렌탈 계정 수, 해지율, ARPU","api","1","api_required","DART/IR: 국내 매출, 해외법인 매출, 렌탈 계정 수, 해지율, ARPU","DART/IR: 국내 매출, 해외법인 매출, 렌탈 계정 수, 해지율, ARPU"
"coway","Coway Malaysia 공식몰/eMall: 정수기 SKU, 렌탈 플랜, 프로모션","official","2","manual_required","Coway Malaysia 공식몰/eMall: 정수기 SKU, 렌탈 플랜, 프로모션","Coway Malaysia 공식몰/eMall: 정수기 SKU, 렌탈 플랜, 프로모션"
"coway","미국: Amazon Airmega, 필터, Cowaymega, Walmart, BestBuy, HomeDepot, Target","retailer","3","manual_required","미국: Amazon Airmega, 필터, Cowaymega, Walmart, BestBuy, HomeDepot, Target","미국: Amazon Airmega, 필터, Cowaymega, Walmart, BestBuy, HomeDepot, Target"
"coway","태국/인도네시아: 공식몰, Shopee, Lazada, Google Trends","retailer","4","manual_required","태국/인도네시아: 공식몰, Shopee, Lazada, Google Trends","태국/인도네시아: 공식몰, Shopee, Lazada, Google Trends"
"samyang","Amazon US raw CSV","marketplace","1","available","현재 보유한 Amazon US 판매량/매출 추정 CSV","기준 proxy 데이터"
"samyang","DART: 연결 매출, 수출/내수, 종속회사 매출, 재고, 매출채권","api","1","api_required","DART: 연결 매출, 수출/내수, 종속회사 매출, 재고, 매출채권","DART: 연결 매출, 수출/내수, 종속회사 매출, 재고, 매출채권"
"samyang","HS 190230 국가별 월별 라면 수출액, 중량, 단가","api","2","api_required","HS 190230 국가별 월별 라면 수출액, 중량, 단가","HS 190230 국가별 월별 라면 수출액, 중량, 단가"
"samyang","미국: Walmart, Costco, Kroger, Target, Instacart, Amazon","retailer","3","manual_required","미국: Walmart, Costco, Kroger, Target, Instacart, Amazon","미국: Walmart, Costco, Kroger, Target, Instacart, Amazon"
"samyang","중국: Tmall, JD, Douyin, Pinduoduo, Xiaohongshu, Baidu Index","retailer","4","manual_required","중국: Tmall, JD, Douyin, Pinduoduo, Xiaohongshu, Baidu Index","중국: Tmall, JD, Douyin, Pinduoduo, Xiaohongshu, Baidu Index"
"samyang","동남아: Shopee, Lazada, TikTok Shop, Google Trends","retailer","5","manual_required","동남아: Shopee, Lazada, TikTok Shop, Google Trends","동남아: Shopee, Lazada, TikTok Shop, Google Trends"
"samyang","일본: Amazon JP, Rakuten, Qoo10, Yahoo Shopping","retailer","5","manual_required","일본: Amazon JP, Rakuten, Qoo10, Yahoo Shopping","일본: Amazon JP, Rakuten, Qoo10, Yahoo Shopping"
"tnl","Amazon US raw CSV","marketplace","1","available","현재 보유한 Amazon US 판매량/매출 추정 CSV","기준 proxy 데이터"
"tnl","DART: 티앤엘 분기 매출, 창상피복재 매출, 재고, 매출채권","api","1","api_required","DART: 티앤엘 분기 매출, 창상피복재 매출, 재고, 매출채권","DART: 티앤엘 분기 매출, 창상피복재 매출, 재고, 매출채권"
"tnl","SEC EDGAR: Church & Dwight 10-K, 10-Q, 8-K의 Hero/Mighty Patch/inventory 코멘트","api","2","api_required","SEC EDGAR: Church & Dwight 10-K, 10-Q, 8-K의 Hero/Mighty Patch/inventory 코멘트","SEC EDGAR: Church & Dwight 10-K, 10-Q, 8-K의 Hero/Mighty Patch/inventory 코멘트"
"tnl","Keepa: Mighty Patch ASIN별 가격, BSR, 리뷰 수, Buy Box, offer count, stockout history","api","3","api_required","Keepa: Mighty Patch ASIN별 가격, BSR, 리뷰 수, Buy Box, offer count, stockout history","Keepa: Mighty Patch ASIN별 가격, BSR, 리뷰 수, Buy Box, offer count, stockout history"
"tnl","비Amazon 리테일: Target, Walmart, CVS, Walgreens, Ulta, Hero 공식몰, iHerb","retailer","4","manual_required","비Amazon 리테일: Target, Walmart, CVS, Walgreens, Ulta, Hero 공식몰, iHerb","비Amazon 리테일: Target, Walmart, CVS, Walgreens, Ulta, Hero 공식몰, iHerb"
"tnl","무역 데이터: HS 300510, 300590, 330499 한국→미국 월별 수출액/중량/단가","api","5","api_required","무역 데이터: HS 300510, 300590, 330499 한국→미국 월별 수출액/중량/단가","무역 데이터: HS 300510, 300590, 330499 한국→미국 월별 수출액/중량/단가"
"tnl","B/L 데이터: ImportYeti, Panjiva, ImportGenius","manual","5","manual_required","B/L 데이터: ImportYeti, Panjiva, ImportGenius","B/L 데이터: ImportYeti, Panjiva, ImportGenius"