company,company_label,country_scope,month,quarter,export_value_usd,export_value_krw,export_weight_kg
"samyang","삼양식품","cn","2022-01","2022-Q1","10572545","12470377393","3679027.74"
"samyang","삼양식품","cn","2022-02","2022-Q1","14664005","17419872801","5065214.05"
"samyang","삼양식품","cn","2022-03","2022-Q1","20988826","25334455388","6969971.16"
"samyang","삼양식품","cn","2022-04","2022-Q2","11454072","13910350226","3824225.54"
"samyang","삼양식품","cn","2022-05","2022-Q2","24122548","30297521775","8333715.01"
"samyang","삼양식품","cn","2022-06","2022-Q2","21705452","27257810870","7311909.45"
"samyang","삼양식품","cn","2022-07","2022-Q3","13657262","17595577316","4788520.12"
"samyang","삼양식품","cn","2022-08","2022-Q3","14888710","19315822332","5172786.57"
"samyang","삼양식품","cn","2022-09","2022-Q3","18086976","24768622708","6256754.26"
"samyang","삼양식품","cn","2022-10","2022-Q4","19706041","28094950005","6698305.3"
"samyang","삼양식품","cn","2022-11","2022-Q4","19925340","27613004363","6768382.06"
"samyang","삼양식품","cn","2022-12","2022-Q4","23996200","31488432544","7793822.44"
"samyang","삼양식품","cn","2023-01","2023-Q1","16358383","20545949131","4961155.17"
"samyang","삼양식품","cn","2023-02","2023-Q1","20557993","25706704676","6246612.96"
"samyang","삼양식품","cn","2023-03","2023-Q1","19072284","24922207878","5851020.01"
"samyang","삼양식품","cn","2023-04","2023-Q2","12091033","15872018223","3794045.61"
"samyang","삼양식품","cn","2023-05","2023-Q2","13514967","18019168259","4284755.58"
"samyang","삼양식품","cn","2023-06","2023-Q2","18391590","23767762021","5610227.11"
"samyang","삼양식품","cn","2023-07","2023-Q3","21902340","28313042119","6768106.99"
"samyang","삼양식품","cn","2023-08","2023-Q3","22096616","28947351404","6918163.5"
"samyang","삼양식품","cn","2023-09","2023-Q3","28395986","37693577577","8779393.43"
"samyang","삼양식품","cn","2023-10","2023-Q4","26162622","35278295936","8027945.6"
"samyang","삼양식품","cn","2023-11","2023-Q4","28097996","37249347224","8588973.98"
"samyang","삼양식품","cn","2023-12","2023-Q4","18474760","24082246500","5778695.18"
"samyang","삼양식품","cn","2024-01","2024-Q1","11220348","14718810386","3745181.37"
"samyang","삼양식품","cn","2024-02","2024-Q1","17089787","22755338300","5487137.73"
"samyang","삼양식품","cn","2024-03","2024-Q1","22872840","30344187008","6995834.18"
"samyang","삼양식품","cn","2024-04","2024-Q2","24620604","33497077039","7446985.28"
"samyang","삼양식품","cn","2024-05","2024-Q2","27358266","37425736858","8377763.89"
"samyang","삼양식품","cn","2024-06","2024-Q2","26027902","35793781662","7788226.28"
"samyang","삼양식품","cn","2024-07","2024-Q3","28054013","38829303332","8603001.01"
"samyang","삼양식품","cn","2024-08","2024-Q3","24990547","34099552044","7531614.66"
"samyang","삼양식품","cn","2024-09","2024-Q3","23443524","31281598558","7176788.5"
"samyang","삼양식품","cn","2024-10","2024-Q4","29591041","39742428575","9130052.47"
"samyang","삼양식품","cn","2024-11","2024-Q4","31126338","43261236351","9789726.51"
"samyang","삼양식품","cn","2024-12","2024-Q4","30277662","42997213226","9478055.04"
"samyang","삼양식품","cn","2025-01","2025-Q1","23231525","33970021649","6915080.13"
"samyang","삼양식품","cn","2025-02","2025-Q1","32525103","47038280534","10006836.15"
"samyang","삼양식품","cn","2025-03","2025-Q1","29417234","42623746477","8582364.78"
"samyang","삼양식품","cn","2025-04","2025-Q2","31997069","46442714077","9214797.72"
"samyang","삼양식품","cn","2025-05","2025-Q2","36326080","51120182767","9961590.45"
"samyang","삼양식품","cn","2025-06","2025-Q2","30446351","41674083947","8507796.43"
"samyang","삼양식품","cn","2025-07","2025-Q3","44027762","60386138139","12721905.01"
"samyang","삼양식품","cn","2025-08","2025-Q3","38438099","53326356405","10947476.31"
"samyang","삼양식품","cn","2025-09","2025-Q3","50530112","70240559549","14238151.8"
"samyang","삼양식품","cn","2025-10","2025-Q4","40898332","57810323458","11951806.64"
"samyang","삼양식품","cn","2025-11","2025-Q4","40124020","58062402323","11615865.35"
"samyang","삼양식품","cn","2025-12","2025-Q4","32972601","48516208796","9566526.29"
"samyang","삼양식품","cn","2026-01","2026-Q1","28176950","41089656702","8024499.63"
"samyang","삼양식품","cn","2026-02","2026-Q1","26389573","38203302978","7454899.08"
"samyang","삼양식품","cn","2026-03","2026-Q1","40265181","59192767496","11280053.59"
"samyang","삼양식품","cn","2026-04","2026-Q2","51785454","77309906917","14051925.02"
"samyang","삼양식품","cn","2026-05","2026-Q2","27162993","39996168852","7217675.729"
"samyang","삼양식품","total","1996-01","1996-Q1","5324402","4169252602","2228479"
"samyang","삼양식품","total","1996-02","1996-Q1","6517340","5072936781","2568735"
"samyang","삼양식품","total","1996-03","1996-Q1","7599575","5908067770","2976857"
"samyang","삼양식품","total","1996-04","1996-Q2","6987277","5436742554","2668006"
"samyang","삼양식품","total","1996-05","1996-Q2","7417265","5754946475","2859391"
"samyang","삼양식품","total","1996-06","1996-Q2","7704306","6083255370","2908628"
"samyang","삼양식품","total","1996-07","1996-Q3","8191212","6625995695","3060406"
"samyang","삼양식품","total","1996-08","1996-Q3","8431843","6852574515","3022244"
"samyang","삼양식품","total","1996-09","1996-Q3","7724829","6316497991","2757412"
"samyang","삼양식품","total","1996-10","1996-Q4","8678522","7137884159","3280985"
"samyang","삼양식품","total","1996-11","1996-Q4","7830185","6459927045","2930527"
"samyang","삼양식품","total","1996-12","1996-Q4","8550730","7122018177","3342512"
"samyang","삼양식품","total","1997-01","1997-Q1","7888659","6656897707","2926887"
"samyang","삼양식품","total","1997-02","1997-Q1","8515877","7352321677","3442025"
"samyang","삼양식품","total","1997-03","1997-Q1","10589639","9219486661","3977090"
"samyang","삼양식품","total","1997-04","1997-Q2","9445081","8405945476","3814425"
"samyang","삼양식품","total","1997-05","1997-Q2","8961564","7964275802","3391727"
"samyang","삼양식품","total","1997-06","1997-Q2","10457940","9276209636","4006900"
"samyang","삼양식품","total","1997-07","1997-Q3","11963098","10599956551","4527247"
"samyang","삼양식품","total","1997-08","1997-Q3","11603041","10330175247","4442486"
"samyang","삼양식품","total","1997-09","1997-Q3","10659812","9623402185","4247268"
"samyang","삼양식품","total","1997-10","1997-Q4","9473910","8634110763","3722501"
"samyang","삼양식품","total","1997-11","1997-Q4","8468716","8308935925","3282412"
"samyang","삼양식품","total","1997-12","1997-Q4","8511942","11515660179","3423423"
"samyang","삼양식품","total","1998-01","1998-Q1","6586925","10590311602","3079295"
"samyang","삼양식품","total","1998-02","1998-Q1","9944164","15657386249","4736864"
"samyang","삼양식품","total","1998-03","1998-Q1","10596348","16174358814","4763236"
"samyang","삼양식품","total","1998-04","1998-Q2","9450428","12971237196","4200795"
"samyang","삼양식품","total","1998-05","1998-Q2","7668705","10465636297","3442146"
"samyang","삼양식품","total","1998-06","1998-Q2","8747368","12021173360","4119057"
"samyang","삼양식품","total","1998-07","1998-Q3","9978730","12967057321","4534015"
"samyang","삼양식품","total","1998-08","1998-Q3","6745742","8526018324","3194068"
"samyang","삼양식품","total","1998-09","1998-Q3","4772837","6376712693","2227243"
"samyang","삼양식품","total","1998-10","1998-Q4","5548452","7349676698","2500169"
"samyang","삼양식품","total","1998-11","1998-Q4","5624138","7236598635","2511495"
"samyang","삼양식품","total","1998-12","1998-Q4","6647172","7987625722","3116174"
"samyang","삼양식품","total","1999-01","1999-Q1","4780507","5581622131","2179724"
"samyang","삼양식품","total","1999-02","1999-Q1","5051894","5870526938","2139065"
"samyang","삼양식품","total","1999-03","1999-Q1","7699226","9322708126","3298497"
"samyang","삼양식품","total","1999-04","1999-Q2","9088445","10914680786","3856912"
"samyang","삼양식품","total","1999-05","1999-Q2","6331485","7468389958","2819123"
"samyang","삼양식품","total","1999-06","1999-Q2","6950369","8062702603","2997054"
"samyang","삼양식품","total","1999-07","1999-Q3","6853334","7997712188","2861368"
"samyang","삼양식품","total","1999-08","1999-Q3","6389221","7599597978","2578094"
"samyang","삼양식품","total","1999-09","1999-Q3","6206911","7332768569","2590441"
"samyang","삼양식품","total","1999-10","1999-Q4","6599733","7889522442","2801126"
"samyang","삼양식품","total","1999-11","1999-Q4","7281268","8542708815","2949561"
"samyang","삼양식품","total","1999-12","1999-Q4","7583497","8589412810","3084228"
"samyang","삼양식품","total","2000-01","2000-Q1","6904424","7750312218","2880393"
"samyang","삼양식품","total","2000-02","2000-Q1","6726186","7501413847","2722560"
"samyang","삼양식품","total","2000-03","2000-Q1","8639412","9610161612","3629278"
"samyang","삼양식품","total","2000-04","2000-Q2","8390214","9226207362","3538568"
"samyang","삼양식품","total","2000-05","2000-Q2","7651743","8444217790","3196950"
"samyang","삼양식품","total","2000-06","2000-Q2","8232473","9141229677","3502004"
"samyang","삼양식품","total","2000-07","2000-Q3","8412627","9289892100","3526341"
"samyang","삼양식품","total","2000-08","2000-Q3","8413455","9289416381","3431637"
"samyang","삼양식품","total","2000-09","2000-Q3","7292342","8058615015","2968060"
"samyang","삼양식품","total","2000-10","2000-Q4","7547696","8400936291","3188259"
"samyang","삼양식품","total","2000-11","2000-Q4","8587765","9698407985","3448139"
"samyang","삼양식품","total","2000-12","2000-Q4","7397531","8783850919","3039260"
"samyang","삼양식품","total","2001-01","2001-Q1","7820599","9818334607","3284152"
"samyang","삼양식품","total","2001-02","2001-Q1","9862029","12306346585","3994064"
"samyang","삼양식품","total","2001-03","2001-Q1","10616361","13385789632","4552730"
"samyang","삼양식품","total","2001-04","2001-Q2","10527261","13831174880","4571735"
"samyang","삼양식품","total","2001-05","2001-Q2","10560946","13634385269","4721411"
"samyang","삼양식품","total","2001-06","2001-Q2","7713342","9870623579","3343305"
"samyang","삼양식품","total","2001-07","2001-Q3","9169176","11825807790","4034898"
"samyang","삼양식품","total","2001-08","2001-Q3","8976713","11456619773","3787603"
"samyang","삼양식품","total","2001-09","2001-Q3","9904050","12637702188","4182235.1"
"samyang","삼양식품","total","2001-10","2001-Q4","9383577","12129715420","4291556.4"
"samyang","삼양식품","total","2001-11","2001-Q4","10800766","13799995577","4758513.9"
"samyang","삼양식품","total","2001-12","2001-Q4","7904025","10013071090","3280937"
"samyang","삼양식품","total","2002-01","2002-Q1","10949370","14282272704","4645812.3"
"samyang","삼양식품","total","2002-02","2002-Q1","9958170","12999748270","4234142.5"
"samyang","삼양식품","total","2002-03","2002-Q1","11276502","14753003056","4628321.1"
"samyang","삼양식품","total","2002-04","2002-Q2","10868662","14251632479","4603654.9"
"samyang","삼양식품","total","2002-05","2002-Q2","10007114","12676739491","4172221.8"
"samyang","삼양식품","total","2002-06","2002-Q2","11423416","13921145942","4861133.2"
"samyang","삼양식품","total","2002-07","2002-Q3","10462808","12352867107","4520045.2"
"samyang","삼양식품","total","2002-08","2002-Q3","12902558","15227953827","5288310.6"
"samyang","삼양식품","total","2002-09","2002-Q3","11138070","13280735936","4422487.9"
"samyang","삼양식품","total","2002-10","2002-Q4","12451294","15289435924","4961534.2"
"samyang","삼양식품","total","2002-11","2002-Q4","11660046","14045982538","4654126.8"
"samyang","삼양식품","total","2002-12","2002-Q4","11530955","13809994511","4580841.4"
"samyang","삼양식품","total","2003-01","2003-Q1","11206888","13123078203","4291108"
"samyang","삼양식품","total","2003-02","2003-Q1","13520228","15926305151","5336871.6"
"samyang","삼양식품","total","2003-03","2003-Q1","12837671","15458027989","5201993.4"
"samyang","삼양식품","total","2003-04","2003-Q2","12356007","15137498975","4954231.6"
"samyang","삼양식품","total","2003-05","2003-Q2","10301138","12272055651","4211635.4"
"samyang","삼양식품","total","2003-06","2003-Q2","10569424","12519358287","4322514"
"samyang","삼양식품","total","2003-07","2003-Q3","12289120","14397193055","5013930.3"
"samyang","삼양식품","total","2003-08","2003-Q3","12819081","14976621627","4849722.9"
"samyang","삼양식품","total","2003-09","2003-Q3","13775837","15940590908","5059679"
"samyang","삼양식품","total","2003-10","2003-Q4","15366878","17639221788","5783094.9"
"samyang","삼양식품","total","2003-11","2003-Q4","14825801","17313543916","5503520.5"
"samyang","삼양식품","total","2003-12","2003-Q4","12589896","14885755656","4562669.2"
"samyang","삼양식품","total","2004-01","2004-Q1","8358591","9852042545","3036355.7"
"samyang","삼양식품","total","2004-02","2004-Q1","12891367","14884956375","4754523.5"
"samyang","삼양식품","total","2004-03","2004-Q1","13760159","15941368539","5126132.5"
"samyang","삼양식품","total","2004-04","2004-Q2","16926395","19269145419","6586867.7"
"samyang","삼양식품","total","2004-05","2004-Q2","13225407","15376967388","5134945.8"
"samyang","삼양식품","total","2004-06","2004-Q2","13210724","15191232240","5118392.1"
"samyang","삼양식품","total","2004-07","2004-Q3","13765526","15755566365","5046547.5"
"samyang","삼양식품","total","2004-08","2004-Q3","12851660","14770190052","4786015.2"
"samyang","삼양식품","total","2004-09","2004-Q3","15220707","17313385073","5494482"
"samyang","삼양식품","total","2004-10","2004-Q4","14849144","16869728419","5413776.7"
"samyang","삼양식품","total","2004-11","2004-Q4","15139269","16598977143","5394312.1"
"samyang","삼양식품","total","2004-12","2004-Q4","13789438","14383694220","4951094.9"
"samyang","삼양식품","total","2005-01","2005-Q1","11982704","12342340365","4182546.7"
"samyang","삼양식품","total","2005-02","2005-Q1","11948302","12144222581","4502489.3"
"samyang","삼양식품","total","2005-03","2005-Q1","14005941","13953452839","4861481.2"
"samyang","삼양식품","total","2005-04","2005-Q2","15250706","15324308601","5276860.4"
"samyang","삼양식품","total","2005-05","2005-Q2","11654972","11565775658","4166434.5"
"samyang","삼양식품","total","2005-06","2005-Q2","11260987","11245769013","3722418.1"
"samyang","삼양식품","total","2005-07","2005-Q3","9742599","9998430427","3093862.9"
"samyang","삼양식품","total","2005-08","2005-Q3","11246761","11365318345","3643948"
"samyang","삼양식품","total","2005-09","2005-Q3","11696980","11906347417","3693965.5"
"samyang","삼양식품","total","2005-10","2005-Q4","11087114","11454257319","3480293"
"samyang","삼양식품","total","2005-11","2005-Q4","10890121","11256159621","3470583.5"
"samyang","삼양식품","total","2005-12","2005-Q4","11355379","11584653107","3482103.9"
"samyang","삼양식품","total","2006-01","2006-Q1","9083386","8953561352","2938494.6"
"samyang","삼양식품","total","2006-02","2006-Q1","8774815","8440458838","2507623.4"
"samyang","삼양식품","total","2006-03","2006-Q1","9502660","9159677829","2866483.8"
"samyang","삼양식품","total","2006-04","2006-Q2","8586168","8176148038","2670937.6"
"samyang","삼양식품","total","2006-05","2006-Q2","9916958","9230480293","3000723.2"
"samyang","삼양식품","total","2006-06","2006-Q2","10594100","10000931995","3142592.6"
"samyang","삼양식품","total","2006-07","2006-Q3","9660629","9106331837","2801846"
"samyang","삼양식품","total","2006-08","2006-Q3","9958685","9461427053","2667883.9"
"samyang","삼양식품","total","2006-09","2006-Q3","10729806","10171412157","2974232.5"
"samyang","삼양식품","total","2006-10","2006-Q4","8844796","8355747238","2483375.7"
"samyang","삼양식품","total","2006-11","2006-Q4","11664207","10864960287","3285089.5"
"samyang","삼양식품","total","2006-12","2006-Q4","11234959","10300493879","2926905.8"
"samyang","삼양식품","total","2007-01","2007-Q1","11098045","10268804959","2803714.9"
"samyang","삼양식품","total","2007-02","2007-Q1","8690257","8068985938","2494514.5"
"samyang","삼양식품","total","2007-03","2007-Q1","11085697","10353649048","3074506.3"
"samyang","삼양식품","total","2007-04","2007-Q2","11387185","10526553328","3025632.2"
"samyang","삼양식품","total","2007-05","2007-Q2","11504688","10566284142","3071771.1"
"samyang","삼양식품","total","2007-06","2007-Q2","10089353","9282618948","2679040.2"
"samyang","삼양식품","total","2007-07","2007-Q3","9238555","8419986839","2533480.8"
"samyang","삼양식품","total","2007-08","2007-Q3","11860914","10903916327","3064678.3"
"samyang","삼양식품","total","2007-09","2007-Q3","10672422","9904638831","2743502"
"samyang","삼양식품","total","2007-10","2007-Q4","13529691","12291076238","3566818.3"
"samyang","삼양식품","total","2007-11","2007-Q4","13280148","12005759597","3296683.1"
"samyang","삼양식품","total","2007-12","2007-Q4","14078465","12945082490","3287971.6"
"samyang","삼양식품","total","2008-01","2008-Q1","14423420","13430933780","3391907.6"
"samyang","삼양식품","total","2008-02","2008-Q1","11522128","10781001725","2810750.4"
"samyang","삼양식품","total","2008-03","2008-Q1","12740716","12211523331","3125104.3"
"samyang","삼양식품","total","2008-04","2008-Q2","13602845","13270563423","3292925.8"
"samyang","삼양식품","total","2008-05","2008-Q2","12880201","13119671488","3210592.4"
"samyang","삼양식품","total","2008-06","2008-Q2","12098300","12332845493","2963622.4"
"samyang","삼양식품","total","2008-07","2008-Q3","14351354","14565753921","3493979.4"
"samyang","삼양식품","total","2008-08","2008-Q3","12360042","12590789616","2866955.8"
"samyang","삼양식품","total","2008-09","2008-Q3","11916450","13186803926","2865131.9"
"samyang","삼양식품","total","2008-10","2008-Q4","12597588","16008138104","3139887.1"
"samyang","삼양식품","total","2008-11","2008-Q4","11361900","15413881240","2957731.9"
"samyang","삼양식품","total","2008-12","2008-Q4","11206186","15691809550","3014927.9"
"samyang","삼양식품","total","2009-01","2009-Q1","10359831","13622285679","2793984.1"
"samyang","삼양식품","total","2009-02","2009-Q1","11275980","15628803847","3243415.7"
"samyang","삼양식품","total","2009-03","2009-Q1","11670468","17210336535","3384595.7"
"samyang","삼양식품","total","2009-04","2009-Q2","13825466","18374127730","3851268.2"
"samyang","삼양식품","total","2009-05","2009-Q2","13252802","16721567550","3548456.2"
"samyang","삼양식품","total","2009-06","2009-Q2","12802853","15931853836","3417198.8"
"samyang","삼양식품","total","2009-07","2009-Q3","12794279","16116875114","3595202.9"
"samyang","삼양식품","total","2009-08","2009-Q3","12336449","15130332312","3388418.8"
"samyang","삼양식품","total","2009-09","2009-Q3","15530808","18910760299","4011984"
"samyang","삼양식품","total","2009-10","2009-Q4","14615001","17002308909","3512492.2"
"samyang","삼양식품","total","2009-11","2009-Q4","16574082","19210188143","3975368.9"
"samyang","삼양식품","total","2009-12","2009-Q4","15767625","18168287321","3839269.9"
"samyang","삼양식품","total","2010-01","2010-Q1","14005467","15828478147","3555886.5"
"samyang","삼양식품","total","2010-02","2010-Q1","13108791","14995698966","3377369.4"
"samyang","삼양식품","total","2010-03","2010-Q1","15783828","17815075985","3994262.4"
"samyang","삼양식품","total","2010-04","2010-Q2","17270351","19187812283","4465674.2"
"samyang","삼양식품","total","2010-05","2010-Q2","14009270","15739069522","3689004.4"
"samyang","삼양식품","total","2010-06","2010-Q2","15615554","18835802269","4104270.5"
"samyang","삼양식품","total","2010-07","2010-Q3","14495890","17360444612","3913533"
"samyang","삼양식품","total","2010-08","2010-Q3","14039201","16391121325","3636426.7"
"samyang","삼양식품","total","2010-09","2010-Q3","13481788","15694891764","3364190.9"
"samyang","삼양식품","total","2010-10","2010-Q4","17506359","19581717009","4537861.1"
"samyang","삼양식품","total","2010-11","2010-Q4","17323178","19262939202","4268034.7"
"samyang","삼양식품","total","2010-12","2010-Q4","17130554","19450714301","4416127.2"
"samyang","삼양식품","total","2011-01","2011-Q1","16282824","18137955566","4169838.6"
"samyang","삼양식품","total","2011-02","2011-Q1","13267215","14674685284","3470706.3"
"samyang","삼양식품","total","2011-03","2011-Q1","22394533","24945246661","5697502.2"
"samyang","삼양식품","total","2011-04","2011-Q2","23919444","25920305447","5794834"
"samyang","삼양식품","total","2011-05","2011-Q2","18575983","19915301631","4586134.9"
"samyang","삼양식품","total","2011-06","2011-Q2","16768134","17985883737","4102053.9"
"samyang","삼양식품","total","2011-07","2011-Q3","17204088","18148782920","4069105.95"
"samyang","삼양식품","total","2011-08","2011-Q3","17276721","18279436028","4238932"
"samyang","삼양식품","total","2011-09","2011-Q3","18747820","20378147564","4399485.4"
"samyang","삼양식품","total","2011-10","2011-Q4","19631104","22717778761","4581141"
"samyang","삼양식품","total","2011-11","2011-Q4","20553194","22937031522","4615671"
"samyang","삼양식품","total","2011-12","2011-Q4","21433687","24334143368","4729174.6"
"samyang","삼양식품","total","2012-01","2012-Q1","17644981","20120796737","3945897.8"
"samyang","삼양식품","total","2012-02","2012-Q1","22129548","24614437551","5008814.7"
"samyang","삼양식품","total","2012-03","2012-Q1","23188064","25794624443","5150889.1"
"samyang","삼양식품","total","2012-04","2012-Q2","22559764","25362431965","5227819.4"
"samyang","삼양식품","total","2012-05","2012-Q2","21400062","24293542905","4861756.4"
"samyang","삼양식품","total","2012-06","2012-Q2","19979356","23152533691","4568779.7"
"samyang","삼양식품","total","2012-07","2012-Q3","21715250","24645515769","5186765.4"
"samyang","삼양식품","total","2012-08","2012-Q3","21246284","23844203900","4812564.6"
"samyang","삼양식품","total","2012-09","2012-Q3","21151891","23623803517","4817161.6"
"samyang","삼양식품","total","2012-10","2012-Q4","21974234","24162509158","5190207.6"
"samyang","삼양식품","total","2012-11","2012-Q4","19441642","20985112230","4415442.5"
"samyang","삼양식품","total","2012-12","2012-Q4","18706676","19995179481","4142669.3"
"samyang","삼양식품","total","2013-01","2013-Q1","22376346","23566895269","4692028.6"
"samyang","삼양식품","total","2013-02","2013-Q1","18713856","20095911006","4532181.8"
"samyang","삼양식품","total","2013-03","2013-Q1","23971402","26076262325","5752272.7"
"samyang","삼양식품","total","2013-04","2013-Q2","26544992","29485658825","5988339.5"
"samyang","삼양식품","total","2013-05","2013-Q2","22902288","25130801583","5449045.7"
"samyang","삼양식품","total","2013-06","2013-Q2","23261789","26007932071","5442518.4"
"samyang","삼양식품","total","2013-07","2013-Q3","21527429","24152756972","5398465.1"
"samyang","삼양식품","total","2013-08","2013-Q3","19619587","21702137128","4598552.7"
"samyang","삼양식품","total","2013-09","2013-Q3","19225690","20851355999","4686523.8"
"samyang","삼양식품","total","2013-10","2013-Q4","23263653","24639884198","5791309.8"
"samyang","삼양식품","total","2013-11","2013-Q4","22548366","23733761063","5214911.1"
"samyang","삼양식품","total","2013-12","2013-Q4","20766724","21745434865","4847151.9"
"samyang","삼양식품","total","2014-01","2014-Q1","19304357","20277063822","4710503.42"
"samyang","삼양식품","total","2014-02","2014-Q1","21772690","23122552246","5204169.7"
"samyang","삼양식품","total","2014-03","2014-Q1","25876730","27418401506","5999289.4"
"samyang","삼양식품","total","2014-04","2014-Q2","25511120","26560177391","6161643.86"
"samyang","삼양식품","total","2014-05","2014-Q2","23395906","23805505868","5477197.5"
"samyang","삼양식품","total","2014-06","2014-Q2","23125430","23372318157","5506805.6"
